player_slug,short_name,long_name,nationality_code,nationality_flag,position_roster,shirt_number,date_of_birth,caps,international_goals,club_roster,club_country_code,wiki_url,world_cup_apps_2026,world_cup_goals_2026,world_cup_yellow_2026,world_cup_red_2026,team_code,coach,team_wiki_url
matej-kovar,Matěj Kovář,Matěj Kovář,CZE,🇨🇿,GK,1,2000-05-17,20,0,PSV Eindhoven,NED,https://en.wikipedia.org/wiki/Mat%C4%9Bj_Kov%C3%A1%C5%99,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
jindrich-stanek,Jindřich Staněk,Jindřich Staněk,CZE,🇨🇿,GK,16,1996-04-27,14,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Jind%C5%99ich_Stan%C4%9Bk,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
lukas-hornicek,Lukáš Horníček,Lukáš Horníček,CZE,🇨🇿,GK,23,2002-07-13,1,0,Braga,POR,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Horn%C3%AD%C4%8Dek,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
david-zima,David Zima,David Zima,CZE,🇨🇿,DF,2,2000-11-08,25,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/David_Zima,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
tomas-holes,Tomáš Holeš,Tomáš Holeš,CZE,🇨🇿,DF,3,1993-03-31,41,2,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Hole%C5%A1,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
robin-hranac,Robin Hranáč,Robin Hranáč,CZE,🇨🇿,DF,4,2000-01-29,14,1,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/Robin_Hran%C3%A1%C4%8D,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
vladimir-coufal,Vladimír Coufal,Vladimír Coufal,CZE,🇨🇿,DF,5,1992-08-22,62,2,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Coufal,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
stepan-chaloupek,Štěpán Chaloupek,Štěpán Chaloupek,CZE,🇨🇿,DF,6,2003-03-08,5,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/%C5%A0t%C4%9Bp%C3%A1n_Chaloupek,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
ladislav-krejci,Ladislav Krejčí,Ladislav Krejčí,CZE,🇨🇿,DF,7,1999-04-20,27,5,Wolverhampton Wanderers,ENG,https://en.wikipedia.org/wiki/Ladislav_Krej%C4%8D%C3%AD_(footballer%2C_born_1999),3,1,1,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
david-jurasek,David Jurásek,David Jurásek,CZE,🇨🇿,DF,14,2000-08-07,18,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/David_Jur%C3%A1sek,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
jaroslav-zeleny,Jaroslav Zelený,Jaroslav Zelený,CZE,🇨🇿,DF,20,1992-08-20,23,0,Sparta Prague,CZE,https://en.wikipedia.org/wiki/Jaroslav_Zelen%C3%BD,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
david-doudera,David Douděra,David Douděra,CZE,🇨🇿,DF,21,1998-05-31,17,2,Slavia Prague,CZE,https://en.wikipedia.org/wiki/David_Doud%C4%9Bra,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
vladimir-darida,Vladimír Darida,Vladimír Darida,CZE,🇨🇿,MF,8,1990-08-08,79,8,Hradec Králové,CZE,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Darida,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
lukas-cerv,Lukáš Červ,Lukáš Červ,CZE,🇨🇿,MF,12,2001-04-10,17,2,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_%C4%8Cerv,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
lukas-provod,Lukáš Provod,Lukáš Provod,CZE,🇨🇿,MF,17,1996-10-23,38,3,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Provod,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
michal-sadilek,Michal Sadílek,Michal Sadílek,CZE,🇨🇿,MF,18,1999-05-31,35,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Michal_Sad%C3%ADlek,3,1,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
tomas-soucek,Tomáš Souček,Tomáš Souček,CZE,🇨🇿,MF,22,1995-02-27,90,17,West Ham United,ENG,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Sou%C4%8Dek,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
alexandr-sojka,Alexandr Sojka,Alexandr Sojka,CZE,🇨🇿,MF,24,2003-04-02,2,0,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/Alexandr_Sojka,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
hugo-sochurek,Hugo Sochůrek,Hugo Sochůrek,CZE,🇨🇿,MF,25,2008-06-07,1,0,Sparta Prague,CZE,https://en.wikipedia.org/wiki/Hugo_Soch%C5%AFrek,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
adam-hlozek,Adam Hložek,Adam Hložek,CZE,🇨🇿,FW,9,2002-07-25,43,5,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/Adam_Hlo%C5%BEek,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
patrik-schick,Patrik Schick,Patrik Schick,CZE,🇨🇿,FW,10,1996-01-24,53,26,Bayer Leverkusen,GER,https://en.wikipedia.org/wiki/Patrik_Schick,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
jan-kuchta,Jan Kuchta,Jan Kuchta,CZE,🇨🇿,FW,11,1997-01-08,31,3,Sparta Prague,CZE,https://en.wikipedia.org/wiki/Jan_Kuchta,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
mojmir-chytil,Mojmír Chytil,Mojmír Chytil,CZE,🇨🇿,FW,13,1999-04-29,22,6,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Mojm%C3%ADr_Chytil,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
pavel-sulc,Pavel Šulc,Pavel Šulc,CZE,🇨🇿,FW,15,2000-12-29,21,5,Lyon,FRA,https://en.wikipedia.org/wiki/Pavel_%C5%A0ulc,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
tomas-chory,Tomáš Chorý,Tomáš Chorý,CZE,🇨🇿,FW,19,1995-01-26,22,7,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Chor%C3%BD,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
denis-visinsky,Denis Višinský,Denis Višinský,CZE,🇨🇿,FW,26,2003-03-21,2,1,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/Denis_Vi%C5%A1insk%C3%BD,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
raul-rangel,Raúl Rangel,Raúl Rangel,MEX,🇲🇽,GK,1,2000-02-25,14,0,Guadalajara,MEX,https://en.wikipedia.org/wiki/Ra%C3%BAl_Rangel_(footballer),3,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
carlos-acevedo,Carlos Acevedo,Carlos Acevedo,MEX,🇲🇽,GK,12,1996-04-19,7,0,Santos Laguna,MEX,https://en.wikipedia.org/wiki/Carlos_Acevedo,0,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
guillermo-ochoa,Guillermo Ochoa,Guillermo Ochoa,MEX,🇲🇽,GK,13,1985-07-13,152,0,AEL Limassol,CYP,https://en.wikipedia.org/wiki/Guillermo_Ochoa,1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
jorge-sanchez,Jorge Sánchez,Jorge Sánchez,MEX,🇲🇽,DF,2,1997-12-10,59,3,PAOK,GRE,https://en.wikipedia.org/wiki/Jorge_S%C3%A1nchez_(footballer%2C_born_1997),2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
cesar-montes,César Montes,César Montes,MEX,🇲🇽,DF,3,1997-02-24,67,4,Lokomotiv Moscow,RUS,https://en.wikipedia.org/wiki/C%C3%A9sar_Montes,2,0,0,1,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
edson-alvarez,Edson Álvarez,Edson Álvarez,MEX,🇲🇽,DF,4,1997-10-24,98,7,Fenerbahçe,TUR,https://en.wikipedia.org/wiki/Edson_%C3%81lvarez,3,0,1,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
johan-vasquez,Johan Vásquez,Johan Vásquez,MEX,🇲🇽,DF,5,1998-10-22,46,3,Genoa,ITA,https://en.wikipedia.org/wiki/Johan_V%C3%A1squez_(footballer%2C_born_1998),2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
israel-reyes,Israel Reyes,Israel Reyes,MEX,🇲🇽,DF,15,2000-05-23,34,2,América,MEX,https://en.wikipedia.org/wiki/Israel_Reyes,3,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
mateo-chavez,Mateo Chávez,Mateo Chávez,MEX,🇲🇽,DF,20,2004-05-12,10,0,AZ,NED,https://en.wikipedia.org/wiki/Mateo_Ch%C3%A1vez,1,1,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
jesus-gallardo,Jesús Gallardo,Jesús Gallardo,MEX,🇲🇽,DF,23,1994-08-15,121,3,Toluca,MEX,https://en.wikipedia.org/wiki/Jes%C3%BAs_Gallardo,3,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
erik-lira,Érik Lira,Érik Lira,MEX,🇲🇽,MF,6,2000-05-08,25,0,Cruz Azul,MEX,https://en.wikipedia.org/wiki/%C3%89rik_Lira,2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
luis-romo,Luis Romo,Luis Romo,MEX,🇲🇽,MF,7,1995-06-05,63,4,Guadalajara,MEX,https://en.wikipedia.org/wiki/Luis_Romo,2,1,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
alvaro-fidalgo,Álvaro Fidalgo,Álvaro Fidalgo,MEX,🇲🇽,MF,8,1997-04-09,4,0,Real Betis,ESP,https://en.wikipedia.org/wiki/%C3%81lvaro_Fidalgo,2,1,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
orbelin-pineda,Orbelín Pineda,Orbelín Pineda,MEX,🇲🇽,MF,17,1996-03-24,92,12,AEK Athens,GRE,https://en.wikipedia.org/wiki/Orbel%C3%ADn_Pineda,1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
obed-vargas,Obed Vargas,Obed Vargas,MEX,🇲🇽,MF,18,2005-08-05,6,0,Atlético Madrid,ESP,https://en.wikipedia.org/wiki/Obed_Vargas,2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
gilberto-mora,Gilberto Mora,Gilberto Mora,MEX,🇲🇽,MF,19,2008-10-14,8,0,Tijuana,MEX,https://en.wikipedia.org/wiki/Gilberto_Mora_(footballer%2C_born_2008),2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
luis-chavez,Luis Chávez,Luis Chávez,MEX,🇲🇽,MF,24,1996-01-15,45,5,Dynamo Moscow,RUS,https://en.wikipedia.org/wiki/Luis_Ch%C3%A1vez_(footballer),1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
brian-gutierrez,Brian Gutiérrez,Brian Gutiérrez,MEX,🇲🇽,MF,26,2003-06-17,7,2,Guadalajara,MEX,https://en.wikipedia.org/wiki/Brian_Guti%C3%A9rrez,2,0,1,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
raul-jimenez,Raúl Jiménez,Raúl Jiménez,MEX,🇲🇽,FW,9,1991-05-05,124,45,Fulham,ENG,https://en.wikipedia.org/wiki/Ra%C3%BAl_Jim%C3%A9nez,2,1,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
alexis-vega,Alexis Vega,Alexis Vega,MEX,🇲🇽,FW,10,1997-11-25,52,7,Toluca,MEX,https://en.wikipedia.org/wiki/Alexis_Vega_(Mexican_footballer),1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
santiago-gimenez,Santiago Giménez,Santiago Giménez,MEX,🇲🇽,FW,11,2001-04-18,47,6,Milan,ITA,https://en.wikipedia.org/wiki/Santiago_Gim%C3%A9nez,2,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
armando-gonzalez,Armando González,Armando González,MEX,🇲🇽,FW,14,2003-04-20,7,1,Guadalajara,MEX,https://en.wikipedia.org/wiki/Armando_Gonz%C3%A1lez_(footballer%2C_born_2003),1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
julian-quinones,Julián Quiñones,Julián Quiñones,MEX,🇲🇽,FW,16,1997-03-24,22,2,Al-Qadsiah,KSA,https://en.wikipedia.org/wiki/Juli%C3%A1n_Qui%C3%B1ones,3,2,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
cesar-huerta,César Huerta,César Huerta,MEX,🇲🇽,FW,21,2000-12-03,26,3,Anderlecht,BEL,https://en.wikipedia.org/wiki/C%C3%A9sar_Huerta,1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
guillermo-martinez,Guillermo Martínez,Guillermo Martínez,MEX,🇲🇽,FW,22,1995-03-15,12,3,Pumas UNAM,MEX,https://en.wikipedia.org/wiki/Guillermo_Mart%C3%ADnez_(footballer),1,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
roberto-alvarado,Roberto Alvarado,Roberto Alvarado,MEX,🇲🇽,FW,25,1998-09-07,67,5,Guadalajara,MEX,https://en.wikipedia.org/wiki/Roberto_Alvarado,3,0,0,0,MEX,Javier Aguirre,https://en.wikipedia.org/wiki/Mexico_national_football_team
ronwen-williams,Ronwen Williams,Ronwen Williams,RSA,🇿🇦,GK,1,1992-01-21,62,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Ronwen_Williams,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
sipho-chaine,Sipho Chaine,Sipho Chaine,RSA,🇿🇦,GK,16,1996-12-14,4,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Sipho_Chaine,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
ricardo-goss,Ricardo Goss,Ricardo Goss,RSA,🇿🇦,GK,22,1994-04-02,5,0,Siwelele,RSA,https://en.wikipedia.org/wiki/Ricardo_Goss,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
thabang-matuludi,Thabang Matuludi,Thabang Matuludi,RSA,🇿🇦,DF,2,1999-01-14,3,0,Polokwane City,RSA,https://en.wikipedia.org/wiki/Thabang_Matuludi,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
khulumani-ndamane,Khulumani Ndamane,Khulumani Ndamane,RSA,🇿🇦,DF,3,2004-02-05,5,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Khulumani_Ndamane,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
aubrey-modiba,Aubrey Modiba,Aubrey Modiba,RSA,🇿🇦,DF,6,1995-07-22,44,3,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Aubrey_Modiba,3,0,1,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
mbekezeli-mbokazi,Mbekezeli Mbokazi,Mbekezeli Mbokazi,RSA,🇿🇦,DF,14,2005-09-19,10,1,Chicago Fire FC,USA,https://en.wikipedia.org/wiki/Mbekezeli_Mbokazi,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
samukele-kabini,Samukele Kabini,Samukele Kabini,RSA,🇿🇦,DF,18,2004-03-15,6,0,Molde,NOR,https://en.wikipedia.org/wiki/Samukele_Kabini,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
nkosinathi-sibisi,Nkosinathi Sibisi,Nkosinathi Sibisi,RSA,🇿🇦,DF,19,1995-09-22,20,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Nkosinathi_Sibisi,1,0,1,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
khuliso-mudau,Khuliso Mudau,Khuliso Mudau,RSA,🇿🇦,DF,20,1995-04-26,32,1,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Khuliso_Mudau,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
ime-okon,Ime Okon,Ime Okon,RSA,🇿🇦,DF,21,2004-02-20,8,1,Hannover 96,GER,https://en.wikipedia.org/wiki/Ime_Okon,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
olwethu-makhanya,Olwethu Makhanya,Olwethu Makhanya,RSA,🇿🇦,DF,24,2004-04-30,1,0,Philadelphia Union,USA,https://en.wikipedia.org/wiki/Olwethu_Makhanya,0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
bradley-cross,Bradley Cross,Bradley Cross,RSA,🇿🇦,DF,26,2001-01-30,1,0,Kaizer Chiefs,RSA,https://en.wikipedia.org/wiki/Bradley_Cross_(soccer),0,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
teboho-mokoena,Teboho Mokoena,Teboho Mokoena,RSA,🇿🇦,MF,4,1997-01-24,51,9,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Teboho_Mokoena_(soccer%2C_born_1997),2,1,2,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
thalente-mbatha,Thalente Mbatha,Thalente Mbatha,RSA,🇿🇦,MF,5,2000-03-06,15,3,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Thalente_Mbatha,3,0,1,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
themba-zwane,Themba Zwane,Themba Zwane,RSA,🇿🇦,MF,11,1989-08-03,54,12,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Themba_Zwane,1,0,0,1,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
sphephelo-sithole,Sphephelo Sithole,Sphephelo Sithole,RSA,🇿🇦,MF,13,1999-03-03,28,1,Tondela,POR,https://en.wikipedia.org/wiki/Sphephelo_Sithole,2,0,0,1,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
jayden-adams,Jayden Adams,Jayden Adams,RSA,🇿🇦,MF,23,2001-05-05,5,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Jayden_Adams,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
oswin-appollis,Oswin Appollis,Oswin Appollis,RSA,🇿🇦,FW,7,2001-08-25,26,8,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Oswin_Appollis,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
tshepang-moremi,Tshepang Moremi,Tshepang Moremi,RSA,🇿🇦,FW,8,2000-10-02,10,1,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Tshepang_Moremi,1,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
lyle-foster,Lyle Foster,Lyle Foster,RSA,🇿🇦,FW,9,2000-09-03,27,10,Burnley,ENG,https://en.wikipedia.org/wiki/Lyle_Foster,1,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
relebohile-mofokeng,Relebohile Mofokeng,Relebohile Mofokeng,RSA,🇿🇦,FW,10,2004-10-23,13,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Relebohile_Mofokeng,2,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
thapelo-maseko,Thapelo Maseko,Thapelo Maseko,RSA,🇿🇦,FW,12,2003-11-11,10,1,AEL Limassol,CYP,https://en.wikipedia.org/wiki/Thapelo_Maseko,2,1,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
iqraam-rayners,Iqraam Rayners,Iqraam Rayners,RSA,🇿🇦,FW,15,1995-12-19,14,4,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Iqraam_Rayners,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
evidence-makgopa,Evidence Makgopa,Evidence Makgopa,RSA,🇿🇦,FW,17,2000-06-05,26,6,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Evidence_Makgopa,3,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
kamogelo-sebelebele,Kamogelo Sebelebele,Kamogelo Sebelebele,RSA,🇿🇦,FW,25,2002-07-21,3,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Kamogelo_Sebelebele,1,0,0,0,RSA,Hugo Broos,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
kim-seung-gyu,Kim Seung-gyu,Kim Seung-gyu,KOR,🇰🇷,GK,1,1990-09-30,87,0,FC Tokyo,JPN,https://en.wikipedia.org/wiki/Kim_Seung-gyu,3,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
song-bum-keun,Song Bum-keun,Song Bum-keun,KOR,🇰🇷,GK,12,1997-10-15,3,0,Jeonbuk Hyundai Motors,KOR,https://en.wikipedia.org/wiki/Song_Bum-keun,0,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
jo-hyeon-woo,Jo Hyeon-woo,Jo Hyeon-woo,KOR,🇰🇷,GK,21,1991-09-25,48,0,Ulsan HD,KOR,https://en.wikipedia.org/wiki/Jo_Hyeon-woo,0,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
lee-han-beom,Lee Han-beom,Lee Han-beom,KOR,🇰🇷,DF,2,2002-06-17,8,0,Midtjylland,DEN,https://en.wikipedia.org/wiki/Lee_Han-beom,3,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
kim-min-jae,Kim Min-jae,Kim Min-jae,KOR,🇰🇷,DF,4,1996-11-15,79,4,Bayern Munich,GER,https://en.wikipedia.org/wiki/Kim_Min-jae_(footballer),3,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
kim-tae-hyeon,Kim Tae-hyeon,Kim Tae-hyeon,KOR,🇰🇷,DF,5,2000-09-17,7,0,Kashima Antlers,JPN,https://en.wikipedia.org/wiki/Kim_Tae-hyeon,0,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
lee-tae-seok,Lee Tae-seok,Lee Tae-seok,KOR,🇰🇷,DF,13,2002-07-28,15,1,Austria Wien,AUT,https://en.wikipedia.org/wiki/Lee_Tae-seok,2,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
cho-wi-je,Cho Wi-je,Cho Wi-je,KOR,🇰🇷,DF,14,2001-08-25,1,0,Jeonbuk Hyundai Motors,KOR,https://en.wikipedia.org/wiki/Cho_Wi-je,0,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
kim-moon-hwan,Kim Moon-hwan,Kim Moon-hwan,KOR,🇰🇷,DF,15,1995-08-01,35,0,Daejeon Hana Citizen,KOR,https://en.wikipedia.org/wiki/Kim_Moon-hwan,1,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
park-jin-seob,Park Jin-seob,Park Jin-seob,KOR,🇰🇷,DF,16,1995-10-23,14,1,Zhejiang,CHN,https://en.wikipedia.org/wiki/Park_Jin-seob_(footballer%2C_born_1995),2,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
seol-young-woo,Seol Young-woo,Seol Young-woo,KOR,🇰🇷,DF,22,1998-12-05,34,0,Red Star Belgrade,SRB,https://en.wikipedia.org/wiki/Seol_Young-woo,3,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
jens-castrop,Jens Castrop,Jens Castrop,KOR,🇰🇷,DF,23,2003-07-29,7,0,Borussia Mönchengladbach,GER,https://en.wikipedia.org/wiki/Jens_Castrop,1,0,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
lee-gi-hyuk,Lee Gi-hyuk,Lee Gi-hyuk,KOR,🇰🇷,MF,3,2000-07-07,3,0,Gangwon FC,KOR,https://en.wikipedia.org/wiki/Lee_Gi-hyuk,3,0,1,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
hwang-in-beom,Hwang In-beom,Hwang In-beom,KOR,🇰🇷,MF,6,1996-09-20,73,6,Feyenoord,NED,https://en.wikipedia.org/wiki/Hwang_In-beom,3,1,0,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
paik-seung-ho,Paik Seung-ho,Paik Seung-ho,KOR,🇰🇷,MF,8,1997-03-17,27,3,Birmingham City,ENG,https://en.wikipedia.org/wiki/Paik_Seung-ho,3,0,1,0,KOR,Hong Myung-bo,https://en.wikipedia.org/wiki/South_Korea_national_football_team
