Player Name,Team Initials,world_cup_matches,tournaments
ALVAREZ,ARG,7,2014
ALVAREZ,HON,3,2010
ALVARO,POR,3,1986
ALVB�GE,SWE,4,2006
ALWAKED,KSA,3,2002
AMANCIO,ESP,3,1966
AMARAL,BRA,7,1978
AMARILDO,BRA,6,1962
AMBROSE,NGA,4,2014
AMDY FAYE,SEN,5,2002
AMEEN,KSA,3,2006
AMELIA,ITA,7,2006
AMEOBI,NGA,4,2014
AMERICO,POR,6,1966
AMIRHOSSEIN,IRN,3,2014
AMOAH,GHA,9,"2006, 2010"
AMOKACHI,NGA,4,1994
AMOR,ESP,3,1998
AN Ik Soo,KOR,3,1994
AN Se Bok,PRK,4,1966
ANDERANIK T.,IRN,3,2006
ANDERSEN,DEN,3,2010
ANDERSON,BRA,7,2002
ANDERSSON,SWE,8,"2002, 2006"
ANDRANIK,IRN,3,2014
ANDRE,POR,3,1986
ANDREWS,TRI,3,2006
ANDRINUA,ESP,4,1990
ANDR� MACANGA,ANG,3,2006
ANDUJAR,ARG,12,"2010, 2014"
ANELKA,FRA,3,2010
ANGIBEAUD,CMR,3,1998
ANGOUA,CIV,3,2010
ANNAN,GHA,5,2010
ANTONELIUS,SWE,4,2002
ANTONIO SIMOES,POR,6,1966
ANTONIO SOUSA,POR,3,1986
ANTUNEZ,ESP,6,1950
AOGO,GER,7,2010
AOYAMA,JPN,3,2014
AQUILANI,ITA,3,2014
ARAKEN,BRA,2,1930
ARANZABAL,ESP,3,1998
ARBELOA,ESP,7,2010
ARCE,PAR,4,1998
ARENDSE,RSA,3,2002
AREVALO RIOS,URU,7,2010
ARGEMIRO,BRA,5,1938
ARIAS,COL,5,2014
ARIEL,BRA,1,1934
ARIF ERDEM,TUR,7,2002
ARISTIZABAL,COL,3,1998
ARMANDINHO,BRA,1,1934
ARROYO,ECU,3,2014
ASAMOAH,GER,14,"2002, 2006"
ASAMOAH,GHA,4,2006
ASENCIO,ECU,3,2002
ASPRILLA,COL,6,"1994, 1998"
ASSEMOASSA,TOG,3,2006
ASSOU EKOTTO,CMR,6,"2010, 2014"
ATSOU,TOG,3,2006
ATSU,GHA,3,2014
ATTILA,BRA,1,1934
AUGUSTO,BRA,6,1950
AVDUKI?,BIH,3,2014
AYALA,ARG,8,"2002, 2006"
AYALA,PAR,8,"1998, 2002"
AYARI,TUN,3,2006
AYILA,NGA,3,2010
AZEEZ,NGA,4,2014
AZIAWONOU,TOG,3,2006
AZIZ,KSA,3,2006
AZOFEIFA R.,CRC,3,2006
AZPILICUETA,ESP,3,2014
AZZOUZI,MAR,3,1994
Aaron LAWRENCE,JAM,3,1998
Aaron PADILLA,MEX,7,"1966, 1970"
Abdallah LAMRANI,MAR,3,1970
Abdel Aziz SOULAYMANI,MAR,4,1986
Abdel Kader BEN BOUALI,FRA,2,1938
Abdel Rahman FAWZI,EGY,1,1934
Abdel SHARLI,EGY,1,1934
Abdelaziz BEN-TIFOUR,FRA,2,1954
Abdelfettah HOUDANI,MAR,4,1986
Abdelfettah RHIATI,MAR,4,1986
Abdelhamid SADMI,ALG,3,1986
Abdelilah SABER,MAR,3,1998
Abdeljalil HADDA,MAR,3,1998
Abdelkader EL BRAZI,MAR,3,1998
Abdelkader EL KHYATI,MAR,3,1970
Abdelkader HORR,ALG,3,1982
Abdelkarim EL HADRIOUI,MAR,3,1998
Abdelkarim KRIMAU,MAR,4,1986
Abdellah BIDAR,MAR,4,1986
Abdellah MEDJADI,ALG,3,1986
Abdellah OURIAGHLI,MAR,3,1970
Abdelmajid BOUREBBOU,ALG,3,1982
Abdelmajid BOUYBOUD,MAR,3,1994
