epoch,reconstruction_mse
1,0.9787137538073083
2,0.8010511337444741
3,0.6319810505623655
4,0.5579825050721173
5,0.5059259103972427
6,0.46729092472447076
7,0.4500083645313395
8,0.4366897869074893
9,0.42022763054101575
10,0.3991368121068879
11,0.3766935257816771
12,0.35647013990549387
