epoch,reconstruction_loss
1,0.07225373142603529
2,0.019521244013013264
3,0.012595376442088196
4,0.009412401178990589
5,0.007378208048541091
6,0.0061917349156150455
7,0.0053788244097658445
8,0.004700417785815375
9,0.004284407876359417
10,0.0039365410526694174
11,0.0036086881474235825
12,0.003517907544521015
13,0.0032722275335170187
14,0.0032238483168109495
15,0.0029899053968985073
16,0.0029179550850652737
17,0.002769364946904338
18,0.002669856045461355
19,0.0027266815307797946
20,0.0024881867398365482
21,0.0024902550807168115
22,0.002540581938358469
23,0.0023653348833829065
24,0.0024361210335014706
25,0.002245766327672039
26,0.0023309625190530404
27,0.002258237163037723
28,0.002214743819619348
29,0.002152226259656141
30,0.002165879839090108
31,0.0021029505036889522
32,0.0021221265323295734
33,0.0020078980010162254
34,0.002015569556586107
35,0.001987547831674637
36,0.001985620625044908
37,0.0020407017622775174
38,0.001933288451146263
39,0.001985780169775142
40,0.0018805297692543273
41,0.0019427399457188927
42,0.0018498904229789879
43,0.0019424474514196884
44,0.0019545727462041405
45,0.001878443315728337
46,0.0018678084013020173
47,0.0018889037567619794
48,0.0018393869081519444
49,0.0020054176728346302
50,0.0017801841854134465
51,0.001839721439350432
52,0.001875266414698797
53,0.0018125179659753804
54,0.0017924758039004427
55,0.0017892892177426207
56,0.0018011839000023505
57,0.0018310162910997441
58,0.0017554533453613059
59,0.0017353808725368075
60,0.001802565880186275
61,0.0018171634835455136
